asset,kalshi_ticker,poly_slug,direction,window_start,close_time,combined_cost,cost_a,cost_b,logged_at,kalshi_outcome,polymarket_outcome,payout,profit,settled_at
BTC,KXBTC15M-26SEP090645-45,btc-updown-15m-1788949800,A,2026-09-09T10:30:00+00:00,2026-09-09T10:45:00Z,0.72,0.72,1.27,2026-09-09T10:41:51.092492+00:00,down,down,1.0,0.28,2026-09-09T10:51:11.110686+00:00
ETH,KXETH15M-26SEP090645-45,eth-updown-15m-1788949800,A,2026-09-09T10:30:00+00:00,2026-09-09T10:45:00Z,0.74,0.74,1.26,2026-09-09T10:39:55.364115+00:00,down,down,1.0,0.26,2026-09-09T12:15:23.427239+00:00
BTC,KXBTC15M-26SEP090700-00,btc-updown-15m-1788950700,A,2026-09-09T10:45:00+00:00,2026-09-09T11:00:00Z,0.75,0.75,1.24,2026-09-09T10:45:24.713016+00:00,down,down,1.0,0.25,2026-09-09T12:15:23.427239+00:00
BTC,KXBTC15M-26SEP090815-15,btc-updown-15m-1788956100,A,2026-09-09T12:15:00+00:00,2026-09-09T12:15:00Z,0.521,0.521,1.47,2026-09-09T12:15:22.595469+00:00,up,down,0.0,-0.521,2026-09-09T12:33:54.784176+00:00
BTC,KXBTC15M-26SEP090830-30,btc-updown-15m-1788956100,A,2026-09-09T12:15:00+00:00,2026-09-09T12:30:00Z,0.79,0.79,1.21,2026-09-09T12:18:32.497908+00:00,up,down,0.0,-0.79,2026-09-09T12:33:54.784176+00:00
ETH,KXETH15M-26SEP090830-30,eth-updown-15m-1788956100,A,2026-09-09T12:15:00+00:00,2026-09-09T12:30:00Z,0.77,0.77,1.22,2026-09-09T12:18:26.878785+00:00,up,up,1.0,0.23,2026-09-09T12:35:04.033683+00:00
BTC,KXBTC15M-26SEP090845-45,btc-updown-15m-1788957900,A,2026-09-09T12:45:00+00:00,2026-09-09T12:45:00Z,0.451,0.451,1.54,2026-09-09T12:45:22.703460+00:00,up,up,1.0,0.549,2026-09-09T13:07:02.711546+00:00
ETH,KXETH15M-26SEP090915-15,eth-updown-15m-1788958800,B,2026-09-09T13:00:00+00:00,2026-09-09T13:15:00Z,0.75,1.26,0.75,2026-09-09T13:04:36.855391+00:00,up,up,1.0,0.25,2026-09-09T13:19:40.659860+00:00
BTC,KXBTC15M-26SEP090915-15,btc-updown-15m-1788958800,A,2026-09-09T13:00:00+00:00,2026-09-09T13:15:00Z,0.79,0.79,1.21,2026-09-09T13:09:19.180476+00:00,down,down,1.0,0.21,2026-09-09T13:20:04.649730+00:00
BTC,KXBTC15M-26SEP090930-30,btc-updown-15m-1788959700,B,2026-09-09T13:15:00+00:00,2026-09-09T13:30:00Z,0.72,1.28,0.72,2026-09-09T13:20:56.439330+00:00,up,up,1.0,0.28,2026-09-09T13:36:02.393395+00:00
ETH,KXETH15M-26SEP090930-30,eth-updown-15m-1788960600,A,2026-09-09T13:30:00+00:00,2026-09-09T13:30:00Z,0.341,0.341,1.65,2026-09-09T13:30:23.550931+00:00,up,down,0.0,-0.341,2026-09-09T13:50:21.966961+00:00
ETH,KXETH15M-26SEP090945-45,eth-updown-15m-1788960600,B,2026-09-09T13:30:00+00:00,2026-09-09T13:45:00Z,0.75,1.23,0.75,2026-09-09T13:32:33.822928+00:00,down,down,1.0,0.25,2026-09-09T13:50:21.966961+00:00
BTC,KXBTC15M-26SEP090945-45,btc-updown-15m-1788961500,B,2026-09-09T13:45:00+00:00,2026-09-09T13:45:00Z,0.361,1.62,0.361,2026-09-09T13:45:22.735855+00:00,down,down,1.0,0.639,2026-09-09T14:02:23.875641+00:00
BTC,KXBTC15M-26SEP091000-00,btc-updown-15m-1788961500,A,2026-09-09T13:45:00+00:00,2026-09-09T14:00:00Z,0.76,0.76,1.24,2026-09-09T13:54:10.150103+00:00,down,down,1.0,0.24,2026-09-09T14:02:23.875641+00:00
BTC,KXBTC15M-26SEP091015-15,btc-updown-15m-1788962400,A,2026-09-09T14:00:00+00:00,2026-09-09T14:15:00Z,0.76,0.76,1.24,2026-09-09T14:06:39.903992+00:00,down,down,1.0,0.24,2026-09-09T14:17:52.781149+00:00
ETH,KXETH15M-26SEP091000-00,eth-updown-15m-1788962400,B,2026-09-09T14:00:00+00:00,2026-09-09T14:00:00Z,0.425,1.57,0.425,2026-09-09T14:00:23.177798+00:00,down,down,1.0,0.575,2026-09-09T14:19:04.696801+00:00
ETH,KXETH15M-26SEP091015-15,eth-updown-15m-1788962400,A,2026-09-09T14:00:00+00:00,2026-09-09T14:15:00Z,0.78,0.78,1.22,2026-09-09T14:01:28.285238+00:00,down,down,1.0,0.22,2026-09-09T14:19:04.696801+00:00
ETH,KXETH15M-26SEP091030-30,eth-updown-15m-1788963300,B,2026-09-09T14:15:00+00:00,2026-09-09T14:30:00Z,0.76,1.22,0.76,2026-09-09T14:26:04.139671+00:00,up,up,1.0,0.24,2026-09-09T14:34:57.789444+00:00
BTC,KXBTC15M-26SEP091030-30,btc-updown-15m-1788963300,B,2026-09-09T14:15:00+00:00,2026-09-09T14:30:00Z,0.79,1.21,0.79,2026-09-09T14:26:09.988286+00:00,up,up,1.0,0.21,2026-09-09T14:36:39.579323+00:00
BTC,KXBTC15M-26SEP091045-45,btc-updown-15m-1788964200,A,2026-09-09T14:30:00+00:00,2026-09-09T14:45:00Z,0.59,0.59,1.41,2026-09-09T14:41:36.418158+00:00,down,down,1.0,0.41,2026-09-09T14:49:09.099347+00:00
ETH,KXETH15M-26SEP091045-45,eth-updown-15m-1788964200,A,2026-09-09T14:30:00+00:00,2026-09-09T14:45:00Z,0.78,0.78,1.23,2026-09-09T14:34:24.742028+00:00,down,down,1.0,0.22,2026-09-09T14:49:26.470047+00:00
ETH,KXETH15M-26SEP091100-00,eth-updown-15m-1788965100,A,2026-09-09T14:45:00+00:00,2026-09-09T15:00:00Z,0.75,0.75,1.25,2026-09-09T14:52:20.342626+00:00,down,down,1.0,0.25,2026-09-09T15:03:07.976793+00:00
BTC,KXBTC15M-26SEP091100-00,btc-updown-15m-1788965100,B,2026-09-09T14:45:00+00:00,2026-09-09T15:00:00Z,0.79,1.21,0.79,2026-09-09T14:49:48.755340+00:00,down,down,1.0,0.21,2026-09-09T15:06:51.160776+00:00
ETH,KXETH15M-26SEP091115-15,eth-updown-15m-1788966000,A,2026-09-09T15:00:00+00:00,2026-09-09T15:15:00Z,0.64,0.64,1.36,2026-09-09T15:01:35.845498+00:00,down,down,1.0,0.36,2026-09-09T15:20:16.548200+00:00
BTC,KXBTC15M-26SEP091115-15,btc-updown-15m-1788966000,B,2026-09-09T15:00:00+00:00,2026-09-09T15:15:00Z,0.79,1.21,0.79,2026-09-09T15:00:52.997117+00:00,down,down,1.0,0.21,2026-09-09T15:20:59.069451+00:00
BTC,KXBTC15M-26SEP091130-30,btc-updown-15m-1788966900,B,2026-09-09T15:15:00+00:00,2026-09-09T15:30:00Z,0.76,1.24,0.76,2026-09-09T15:15:48.729392+00:00,down,down,1.0,0.24,2026-09-09T15:34:45.822768+00:00
ETH,KXETH15M-26SEP091130-30,eth-updown-15m-1788966900,A,2026-09-09T15:15:00+00:00,2026-09-09T15:30:00Z,0.79,0.79,1.22,2026-09-09T15:21:19.887181+00:00,down,down,1.0,0.21,2026-09-09T15:35:20.539382+00:00
